Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Antoine Roussel,VAN,L,L,1989-11-21,Roubaix,--,FRA,FRA,71,199,--,--,--,20132014,N,30,4,2,6
Carter Rowney,ANA,R,C,1989-05-10,Grande Prairie,AB,CAN,CAN,73,208,--,--,--,20162017,N,23,0,3,3
Nicolas Roy,VGK,R,C,1997-02-05,Amos,QC,CAN,CAN,76,200,2015,4,96,20192020,N,20,1,7,8
Michal Rozsival,--,R,D,1978-09-03,Vlasim,--,CZE,CZE,73,210,1996,4,105,19992000,N,4,0,0,0
Chad Ruhwedel,PIT,R,D,1990-05-07,San Diego,CA,USA,USA,71,191,--,--,--,20162017,N,18,0,0,0
David Rundblad,--,R,D,1990-10-08,Lycksele,--,SWE,SWE,74,187,2009,1,17,20142015,N,3,0,0,0
Kris Russell,EDM,L,D,1987-05-02,Caroline,AB,CAN,CAN,70,170,2005,3,67,20082009,N,29,0,8,8
Bryan Rust,PIT,R,R,1992-05-11,Pontiac,MI,USA,USA,71,192,2010,3,80,20152016,N,66,17,7,24
Jan Rutta,TBL,R,D,1990-07-29,Pisek,--,CZE,CZE,75,204,--,--,--,20182019,N,7,0,3,3
Bobby Ryan,OTT,R,R,1987-03-17,Cherry Hill,NJ,USA,USA,74,208,2005,1,2,20072008,N,19,6,9,15
Derek Ryan,CGY,R,C,1986-12-29,Spokane,WA,USA,USA,70,185,--,--,--,20182019,N,15,1,2,3
Joakim Ryan,LAK,L,D,1993-06-17,Rumson,NJ,USA,USA,71,185,2012,7,198,20172018,N,23,0,1,1
Brandon Saad,CHI,L,L,1992-10-27,Pittsburgh,PA,USA,USA,73,206,2011,2,43,20112012,N,14,3,5,8
Aleksi Saarela,FLA,L,C,1997-01-07,Helsinki,--,FIN,FIN,70,200,2015,3,89,20182019,N,2,0,0,0
Miikka Salomaki,TOR,L,R,1993-03-09,Raahe,--,FIN,FIN,71,203,2011,2,52,20152016,N,30,1,2,3
Zach Sanford,STL,L,L,1994-11-09,Salem,MA,USA,USA,76,207,2013,2,61,20162017,N,21,2,6,8
Travis Sanheim,PHI,L,D,1996-03-29,Elkhorn,MB,CAN,CAN,75,181,2014,1,17,20172018,N,20,2,6,8
David Savard,CBJ,R,D,1990-10-22,St. Hyacinthe,QC,CAN,CAN,74,229,2009,4,94,20132014,N,31,1,6,7
Luca Sbisa,WPG,L,D,1990-01-30,Ozieri,--,ITA,CHE,75,206,2008,1,19,20082009,N,12,0,4,4
Marco Scandella,STL,L,D,1990-02-23,Montreal,QC,CAN,CAN,75,212,2008,2,55,20122013,N,20,1,0,1
Colton Sceviour,PIT,R,C,1989-04-20,Red Deer,AB,CAN,CAN,72,190,2007,4,112,20132014,N,13,2,3,5
Tim Schaller,LAK,L,L,1990-11-16,Merrimack,NH,USA,USA,74,204,--,--,--,20162017,N,17,1,2,3
Mark Scheifele,WPG,R,C,1993-03-15,Kitchener,ON,CAN,CAN,75,207,2011,1,7,20142015,N,24,16,9,25
Brayden Schenn,STL,L,C,1991-08-22,Saskatoon,SK,CAN,CAN,73,200,2009,1,5,20112012,N,41,7,12,19
Luke Schenn,TBL,R,D,1989-11-02,Saskatoon,SK,CAN,CAN,74,224,2008,1,5,20132014,N,16,1,3,4
David Schlemko,--,L,D,1987-05-07,Edmonton,AB,CAN,CAN,73,191,--,--,--,20102011,N,6,2,1,3
Jordan Schmaltz,NYI,R,D,1993-10-08,Madison,WI,USA,USA,74,196,2012,1,25,20162017,N,1,0,0,0
Nick Schmaltz,ARI,R,C,1996-02-23,Madison,WI,USA,USA,72,177,2014,1,20,20162017,N,4,0,0,0
Nate Schmidt,VGK,L,D,1991-07-16,St. Cloud,MN,USA,USA,72,194,--,--,--,20152016,N,68,6,19,25
Jordan Schroeder,--,R,C,1990-09-29,Lakeville,MN,USA,USA,69,170,2009,1,22,20142015,N,2,1,0,1
Justin Schultz,PIT,R,D,1990-07-06,Kelowna,BC,CAN,CAN,74,193,2008,2,43,20152016,N,56,6,23,29
Nick Schultz,--,L,D,1982-08-25,Strasbourg,SK,CAN,CAN,73,203,2000,2,33,20022003,N,6,0,0,0
Jaden Schwartz,STL,L,L,1992-06-25,Wilcox,SK,CAN,CAN,70,190,2010,1,14,20122013,N,66,24,23,47
Rob Scuderi,--,L,D,1978-12-30,Syosset,NY,USA,USA,73,216,1998,5,134,20062007,N,5,0,0,0
Brent Seabrook,CHI,R,D,1985-04-20,Richmond,BC,CAN,CAN,75,220,2003,1,14,20082009,N,11,1,1,2
Lukas Sedlak,CBJ,L,C,1993-02-25,Ceské Budejovice,--,CZE,CZE,72,205,2011,6,158,20162017,N,2,0,0,0
Nick Seeler,CHI,L,D,1993-06-03,Eden Prairie,MN,USA,USA,74,201,2011,5,131,20172018,N,5,0,2,2
Tyler Seguin,DAL,R,C,1992-01-31,Brampton,ON,CAN,CAN,73,200,2010,1,2,20102011,N,37,6,13,19
Andrej Sekera,DAL,L,D,1986-06-08,Bojnice,--,SVK,SVK,72,195,2004,3,71,20092010,N,35,1,3,4
Mikhail Sergachev,TBL,L,D,1998-06-25,Nizhnekamsk,--,RUS,RUS,75,216,2016,1,9,20172018,N,43,5,9,14
Damon Severson,NJD,R,D,1994-08-07,Melville,SK,CAN,CAN,74,205,2012,2,60,20172018,N,4,0,0,0
Patrick Sharp,--,R,L,1981-12-27,Winnipeg,MB,CAN,CAN,73,200,2001,3,95,20032004,N,13,4,2,6
Kevin Shattenkirk,TBL,R,D,1989-01-29,New Rochelle,NY,USA,USA,72,203,2007,1,14,20112012,N,55,5,23,28
Andrew Shaw,CHI,R,R,1991-07-20,Belleville,ON,CAN,CAN,71,182,2011,5,139,20112012,N,11,4,2,6
Logan Shaw,WPG,R,R,1992-10-05,Glace Bay,NS,CAN,CAN,75,208,2011,3,76,20152016,N,15,0,0,0
Riley Sheahan,EDM,L,C,1991-12-07,St. Catharines,ON,CAN,CAN,75,214,2010,1,21,20132014,N,21,1,3,4
Conor Sheary,PIT,L,L,1992-06-08,Winchester,MA,USA,USA,68,179,--,--,--,20152016,N,61,6,15,21
Devin Shore,CBJ,L,C,1994-07-19,Ajax,ON,CAN,CAN,73,206,2012,2,61,20192020,N,2,0,0,0
Nicholas Shore,WPG,R,C,1992-09-26,Denver,CO,USA,USA,73,198,2011,3,82,20152016,N,5,0,0,0
Jonas Siegenthaler,WSH,L,D,1997-05-06,Zurich,--,CHE,CHE,75,210,2015,2,57,20182019,N,11,0,0,0
Duncan Siemens,--,L,D,1993-09-07,Edmonton,AB,CAN,CAN,75,210,2011,1,11,20172018,N,5,0,0,0
Jakob Silfverberg,ANA,R,R,1990-10-13,Gävle,--,SWE,SWE,72,208,2009,2,39,20112012,N,28,10,11,21
Wayne Simmonds,BUF,R,R,1988-08-26,Scarborough,ON,CAN,CAN,74,185,2007,2,61,20092010,N,14,0,4,4
Dominik Simon,PIT,L,C,1994-08-08,Prague,--,CZE,CZE,71,190,2015,5,137,20172018,N,12,0,4,4
Colton Sissons,NSH,R,C,1993-11-05,North Vancouver,BC,CAN,CAN,73,200,2012,2,50,20152016,N,55,9,11,20
Brady Skjei,CAR,L,D,1994-03-26,Lakeville,MN,USA,USA,75,210,2012,1,28,20152016,N,25,4,5,9
Jaccob Slavin,CAR,L,D,1994-05-01,Denver,CO,USA,USA,75,207,2012,4,120,20182019,N,23,1,12,13
Anton Slepyshev,EDM,R,L,1994-05-13,Penza,--,RUS,RUS,74,221,2013,3,88,20162017,N,12,3,0,3
Brendan Smith,NYR,L,D,1989-02-08,Mimico,ON,CAN,CAN,74,200,2007,1,27,20122013,N,18,0,5,5
Craig Smith,NSH,R,R,1989-09-05,Madison,WI,USA,USA,73,208,2009,4,98,20112012,N,44,5,5,10
Reilly Smith,VGK,L,R,1991-04-01,Mimico,ON,CAN,CAN,73,183,2009,3,69,20132014,N,53,15,35,50
Zack Smith,CHI,L,C,1988-04-05,Maple Creek,SK,CAN,CAN,74,208,2008,3,79,20092010,N,19,1,5,6
Devante Smith-Pelly,--,R,R,1992-06-14,Scarborough,ON,CAN,CAN,72,223,2010,2,42,20132014,N,27,7,1,8
Vladimir Sobotka,BUF,L,C,1987-07-02,Trebic,--,CZE,CZE,71,191,2005,4,106,20072008,N,11,2,4,6
Carl Soderberg,ARI,L,C,1985-10-12,Malmö,--,SWE,SWE,75,210,2004,2,49,20122013,N,27,1,5,6
Marcus Sorensen,SJS,L,L,1992-04-07,Sodertalje,--,SWE,SWE,71,175,2010,4,106,20162017,N,34,5,7,12
Carson Soucy,MIN,L,D,1994-07-27,Viking,AB,CAN,CAN,77,210,2013,5,137,20172018,N,8,0,0,0
Nick Spaling,--,L,C,1988-09-19,Palmerston,ON,CAN,CAN,73,198,2007,2,58,20092010,N,24,0,1,1
Jason Spezza,TOR,R,C,1983-06-13,Toronto,ON,CAN,CAN,75,216,2001,1,2,20022003,N,29,8,10,18
Ryan Spooner,--,L,C,1992-01-30,Ottawa,ON,CAN,CAN,71,191,2010,2,45,20162017,N,4,0,2,2
Jared Spurgeon,MIN,R,D,1989-11-29,Edmonton,AB,CAN,CAN,69,167,2008,6,156,20122013,N,20,4,7,11
Eric Staal,BUF,L,C,1984-10-29,Thunder Bay,ON,CAN,CAN,76,206,2003,1,2,20052006,N,19,2,6,8
Jordan Staal,CAR,L,C,1988-09-10,Thunder Bay,ON,CAN,CAN,76,220,2006,1,2,20062007,N,23,4,6,10
Marc Staal,NYR,L,D,1987-01-13,Thunder Bay,ON,CAN,CAN,76,209,2005,1,12,20072008,N,20,1,2,3
Drew Stafford,--,R,R,1985-10-30,Milwaukee,WI,USA,USA,74,215,2004,1,13,20062007,N,8,2,0,2
Matt Stajan,--,L,C,1983-12-19,Mississauga,ON,CAN,CAN,73,195,2002,2,57,20032004,N,3,0,0,0
Viktor Stalberg,--,L,L,1986-01-17,Gothenburg,--,SWE,SWE,75,209,2006,6,161,20102011,N,22,0,2,2
Steven Stamkos,TBL,R,C,1990-02-07,Markham,ON,CAN,CAN,73,194,2008,1,1,20102011,N,23,9,10,19
Paul Stastny,VGK,L,C,1985-12-27,Quebec City,QC,CAN,USA,72,193,2005,2,44,20072008,N,69,16,32,48
Troy Stecher,VAN,R,D,1994-04-07,Richmond,BC,CAN,CAN,70,186,--,--,--,20192020,N,17,2,1,3
Alexander Steen,STL,L,L,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,1,24,20082009,N,60,9,13,22
Kevin Stenlund,CBJ,R,C,1996-09-20,Stockholm,--,SWE,SWE,76,209,2015,2,58,20192020,N,2,1,0,1
Derek Stepan,ARI,R,C,1990-06-18,Hastings,MN,USA,USA,72,196,2008,2,51,20102011,N,26,5,8,13
Mitchell Stephens,TBL,R,C,1997-02-05,Peterborough,ON,CAN,CAN,71,193,2015,2,33,20192020,N,7,1,0,1
Chandler Stephenson,VGK,L,C,1994-04-22,Saskatoon,SK,CAN,CAN,72,208,2012,3,77,20172018,N,50,5,7,12
Chris Stewart,PHI,R,R,1987-10-30,Toronto,ON,CAN,CAN,74,242,2006,1,18,20092010,N,12,1,2,3
Riley Stillman,FLA,L,D,1998-03-09,Peterborough,ON,CAN,CAN,73,196,2016,4,114,20192020,N,3,0,0,0
Jarret Stoll,--,R,C,1982-06-24,Melville,SK,CAN,CAN,73,216,2002,2,36,20052006,N,4,0,0,0
Mark Stone,VGK,R,R,1992-05-13,Winnipeg,MB,CAN,CAN,75,202,2010,6,178,20112012,N,46,18,19,37
Michael Stone,CGY,R,D,1990-06-07,Winnipeg,MB,CAN,CAN,75,210,2008,3,69,20112012,N,4,1,0,1
Clayton Stoner,--,L,D,1985-02-19,Port McNeill,BC,CAN,CAN,76,216,2004,3,79,20122013,N,1,0,0,0
Anton Stralman,FLA,R,D,1986-08-01,Tibro,--,SWE,SWE,71,186,2005,7,216,20112012,N,27,2,4,6
Mark Streit,--,L,D,1977-12-11,Bern,--,CHE,CHE,71,186,2004,9,262,20052006,N,9,0,3,3
Dylan Strome,CHI,L,C,1997-03-07,Mississauga,ON,CAN,CAN,75,200,2015,1,3,20192020,N,9,2,1,3
Ryan Strome,NYR,R,C,1993-07-11,Mississauga,ON,CAN,CAN,73,193,2011,1,5,20142015,N,11,1,5,6
Jack Studnicka,BOS,R,C,1999-02-18,Windsor,ON,CAN,CAN,73,171,2017,2,53,20192020,N,5,0,0,0
Nico Sturm,MIN,L,C,1995-05-03,Augsburg,--,DEU,DEU,75,206,--,--,--,20192020,N,2,1,0,1
P.K. Subban,NJD,R,D,1989-05-13,Toronto,ON,CAN,CAN,72,210,2007,2,43,20092010,N,41,7,17,24
Oskar Sundqvist,STL,R,C,1994-03-23,Boden,--,SWE,SWE,75,209,2012,3,81,20152016,N,36,4,6,10
Andrej Sustr,--,R,D,1990-11-29,Plzen,--,CZE,CZE,79,217,--,--,--,20132014,N,17,1,2,3
Ryan Suter,MIN,L,D,1985-01-21,Madison,WI,USA,USA,74,206,2003,1,7,20062007,N,14,1,6,7
Brandon Sutter,VAN,R,C,1989-02-14,Huntington,NY,USA,CAN,75,190,2007,1,11,20122013,N,17,1,5,6
Nick Suzuki,MTL,R,C,1999-08-10,London,ON,CAN,CAN,71,201,2017,1,13,20192020,N,10,4,3,7
Andrei Svechnikov,CAR,L,R,2000-03-26,Barnaul,--,RUS,RUS,74,195,2018,1,2,20182019,N,15,7,5,12
Viktor Svedberg,--,L,D,1991-05-24,Gothenburg,--,SWE,SWE,80,238,--,--,--,20152016,N,3,0,0,0
Brandon Tanev,PIT,L,L,1991-12-31,Toronto,ON,CAN,CAN,72,180,--,--,--,20172018,N,26,5,4,9
Christopher Tanev,VAN,R,D,1989-12-20,Toronto,ON,CAN,CAN,74,197,--,--,--,20102011,N,17,1,6,7
Matt Taormina,--,L,D,1986-10-20,Warren,MI,USA,USA,70,188,--,--,--,20152016,N,3,0,0,0
Vladimir Tarasenko,STL,L,R,1991-12-13,Yaroslavl,--,RUS,RUS,72,225,2010,1,16,20122013,N,61,23,15,38
Tomas Tatar,MTL,L,L,1990-12-01,Ilava,--,SVK,SVK,70,183,2009,2,60,20132014,N,23,3,4,7
John Tavares,TOR,L,C,1990-09-20,Mississauga,ON,CAN,CAN,73,215,2009,1,1,20122013,N,23,10,9,19
Teuvo Teravainen,CAR,L,L,1994-09-11,Helsinki,--,FIN,FIN,71,191,2012,1,18,20142015,N,30,10,6,16
Alexandre Texier,CBJ,L,C,1999-09-13,St. Martin D'heres,--,FRA,FRA,73,192,2017,2,45,20182019,N,18,2,5,7
Shea Theodore,VGK,L,D,1995-08-03,Langley,BC,CAN,CAN,74,195,2013,1,26,20152016,N,67,13,32,45
Robert Thomas,STL,R,C,1999-07-02,Aurora,ON,CAN,CAN,72,188,2017,1,20,20182019,N,29,2,7,9
Nate Thompson,PHI,L,C,1984-10-05,Anchorage,AK,USA,USA,73,205,2003,6,183,20102011,N,44,5,4,9
Joe Thornton,SJS,L,C,1979-07-02,London,ON,CAN,CAN,76,220,1997,1,1,19971998,N,47,7,26,33
Shawn Thornton,--,R,L,1977-07-23,Oshawa,ON,CAN,CAN,74,217,1997,7,190,20062007,N,4,0,0,0
Chris Tierney,OTT,L,C,1994-07-01,Keswick,ON,CAN,CAN,73,195,2012,2,55,20152016,N,40,5,7,12
Conor Timmins,COL,R,D,1998-09-18,St. Catharines,ON,CAN,CAN,74,185,2017,2,32,20192020,N,2,0,0,0
Jarred Tinordi,NSH,L,D,1992-02-20,Burnsville,MN,USA,USA,78,230,2010,1,22,20122013,N,4,0,0,0
Matthew Tkachuk,CGY,L,L,1997-12-11,Scottsdale,AZ,USA,USA,74,202,2016,1,6,20162017,N,15,3,2,5
Devon Toews,NYI,L,D,1994-02-21,Abbotsford,BC,CAN,CAN,73,191,2014,4,108,20182019,N,30,3,12,15
Jonathan Toews,CHI,L,C,1988-04-29,Winnipeg,MB,CAN,CAN,74,201,2006,1,3,20082009,N,20,6,11,17
Tyler Toffoli,VAN,R,R,1992-04-24,Scarborough,ON,CAN,CAN,72,197,2010,2,47,20122013,N,16,2,3,5
Dominic Toninato,FLA,L,C,1994-03-09,Duluth,MN,USA,USA,74,191,2012,5,126,20192020,N,3,0,0,0
Jordin Tootoo,--,R,R,1983-02-02,Churchill,MB,CAN,CAN,69,195,2001,4,98,20032004,N,2,0,0,0
Vincent Trocheck,CAR,R,C,1993-07-11,Pittsburgh,PA,USA,USA,70,183,2011,3,64,20152016,N,10,0,3,3
Jacob Trouba,NYR,R,D,1994-02-26,Rochester,MI,USA,USA,75,209,2012,1,9,20142015,N,26,2,3,5
Alex Tuch,VGK,R,R,1996-05-10,Syracuse,NY,USA,USA,76,220,2014,1,18,20172018,N,47,15,9,24
Kyle Turris,NSH,R,C,1989-08-14,New Westminster,BC,CAN,CAN,73,190,2007,1,3,20102011,N,42,5,10,15
Scottie Upshall,--,L,R,1983-10-07,Fort McMurray,AB,CAN,CAN,72,200,2002,1,6,20052006,N,28,1,2,3
Juuso Valimaki,CGY,L,D,1998-10-06,Tampere,--,FIN,FIN,74,212,2017,1,16,20182019,N,2,0,1,1
James van Riemsdyk,PHI,L,L,1989-05-04,Middletown,NJ,USA,USA,75,217,2007,1,2,20092010,N,25,7,2,9
Trevor van Riemsdyk,CAR,R,D,1991-07-24,Middletown,NJ,USA,USA,74,192,--,--,--,20142015,N,22,1,1,2
Chris VandeVelde,--,L,C,1987-03-15,Moorhead,MN,USA,USA,74,190,2005,4,97,20152016,N,6,1,0,1
Thomas Vanek,--,R,L,1984-01-19,Vienna,--,AUT,AUT,74,214,2003,1,5,20052006,N,6,1,1,2
Sami Vatanen,CAR,R,D,1991-06-03,Jyväskylä,--,FIN,FIN,70,185,2009,4,106,20132014,N,30,3,11,14
Frank Vatrano,FLA,L,C,1994-03-14,East Longmeadow,MA,USA,USA,71,197,--,--,--,20162017,N,8,1,0,1
Carter Verhaeghe,TBL,L,C,1995-08-14,Toronto,ON,CAN,CAN,74,180,2013,3,82,20192020,N,6,0,2,2
Antoine Vermette,--,L,C,1982-07-20,St. Agapit,QC,CAN,CAN,73,197,2000,2,55,20032004,N,19,1,2,3
Kris Versteeg,--,R,R,1986-05-13,Lethbridge,AB,CAN,CAN,71,176,2004,5,134,20082009,N,9,2,4,6
Jimmy Vesey,BUF,L,L,1993-05-26,Boston,MA,USA,USA,75,202,2012,3,66,20162017,N,12,1,4,5
Jake Virtanen,VAN,R,R,1996-08-17,Langley,BC,CAN,CAN,73,226,2014,1,6,20192020,N,16,2,1,3
Marc-Edouard Vlasic,SJS,L,D,1987-03-30,Montreal,QC,CAN,CAN,73,205,2005,2,35,20062007,N,58,4,21,25
Jakub Voracek,PHI,L,R,1989-08-15,Kladno,--,CZE,CZE,74,214,2007,1,7,20082009,N,27,5,8,13
Jakub Vrana,WSH,L,L,1996-02-28,Prague,--,CZE,CZE,72,195,2014,1,13,20172018,N,38,3,5,8
Chris Wagner,BOS,R,R,1991-05-27,Walpole,MA,USA,USA,72,198,2010,5,122,20142015,N,43,7,1,8
Nathan Walker,STL,L,L,1994-02-07,Cardiff,--,GBR,AUS,69,186,2014,3,89,20172018,N,1,0,1,1
Lucas Wallmark,FLA,L,C,1995-09-05,Umea,--,SWE,SWE,72,178,2014,4,97,20182019,N,17,1,4,5
Joel Ward,--,R,R,1980-12-02,North York,ON,CAN,CAN,73,225,--,--,--,20092010,N,30,8,9,17
David Warsofsky,TOR,L,D,1990-05-30,Marshfield,MA,USA,USA,69,170,2008,4,95,20172018,N,4,0,0,0
Austin Watson,NSH,R,L,1992-01-13,Ann Arbor,MI,USA,USA,76,204,2010,1,18,20162017,N,45,10,9,19
Jordan Weal,MTL,R,C,1992-04-15,North Vancouver,BC,CAN,CAN,70,180,2010,3,70,20172018,N,3,0,0,0
Mike Weber,--,L,D,1987-12-16,Pittsburgh,PA,USA,USA,74,217,2006,2,57,20102011,N,2,0,0,0
Shea Weber,MTL,R,D,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,2,49,20052006,N,30,7,8,15
Yannick Weber,NSH,R,D,1988-09-23,Morges,--,CHE,CHE,71,200,2007,3,73,20082009,N,30,1,1,2
MacKenzie Weegar,FLA,R,D,1994-01-07,Ottawa,ON,CAN,CAN,72,200,2013,7,206,20192020,N,4,0,1,1
Dale Weise,MTL,R,R,1988-08-05,Winnipeg,MB,CAN,CAN,74,196,2008,4,111,20112012,N,11,1,0,1
Andy Welinski,PHI,R,D,1993-04-27,Duluth,MN,USA,USA,73,201,2011,3,83,20172018,N,3,0,0,0
Alexander Wennberg,CBJ,L,C,1994-09-22,Stockholm,--,SWE,SWE,74,197,2013,1,14,20162017,N,22,4,4,8
Zach Werenski,CBJ,L,D,1997-07-19,Grosse Pointe,MI,USA,USA,74,212,2015,1,8,20162017,N,29,4,9,13
Blake Wheeler,WPG,R,R,1986-08-31,Plymouth,MN,USA,USA,77,225,2004,1,5,20082009,N,27,4,23,27
Colin White,OTT,R,C,1997-01-30,Boston,MA,USA,USA,71,191,2015,1,21,20162017,N,1,0,0,0
Ryan White,--,R,C,1988-03-17,Brandon,MB,CAN,CAN,72,200,2006,3,66,20102011,N,9,1,0,1
Zach Whitecloud,VGK,R,D,1996-11-28,Brandon,MB,CAN,CAN,74,209,--,--,--,20192020,N,20,2,1,3
Chris Wideman,ANA,R,D,1990-01-07,St. Louis,MO,USA,USA,70,190,2009,4,100,20162017,N,15,1,3,4
Justin Williams,CAR,R,R,1981-10-04,Cobourg,ON,CAN,CAN,73,184,2000,1,28,20012002,N,47,11,13,24
Colin Wilson,COL,L,C,1989-10-20,Greenwich,CT,USA,USA,73,215,2008,1,7,20092010,N,46,11,15,26
Garrett Wilson,TOR,L,L,1991-03-16,Barrie,ON,CAN,CAN,75,218,2009,4,107,20152016,N,10,1,1,2
Scott Wilson,BUF,L,L,1992-04-24,Oakville,ON,CAN,CAN,71,177,2011,7,209,20142015,N,20,3,3,6
Tom Wilson,WSH,R,R,1994-03-29,Toronto,ON,CAN,CAN,76,220,2012,1,16,20122013,N,61,12,15,27
Tommy Wingels,--,R,C,1988-04-12,Evanston,IL,USA,USA,72,200,2008,6,177,20112012,N,35,2,0,2
Daniel Winnik,--,L,L,1985-03-06,Toronto,ON,CAN,CAN,74,210,2004,9,265,20092010,N,30,0,1,1
Luke Witkowski,TBL,R,R,1990-04-14,Holland,MI,USA,USA,74,217,2008,6,160,20152016,N,2,0,0,0
Miles Wood,NJD,L,L,1995-09-13,Buffalo,NY,USA,USA,74,195,2013,4,100,20172018,N,5,0,0,0
Kailer Yamamoto,EDM,R,R,1998-09-29,Spokane,WA,USA,USA,68,153,2017,1,22,20192020,N,4,0,0,0
Keith Yandle,FLA,L,D,1986-09-09,Boston,MA,USA,USA,73,192,2005,4,105,20092010,N,9,1,3,4
Pavel Zacha,NJD,L,C,1997-04-06,Brno,--,CZE,CZE,75,210,2015,1,6,20172018,N,5,0,0,0
Nikita Zadorov,COL,L,D,1995-04-16,Moscow,--,RUS,RUS,78,235,2013,1,16,20172018,N,33,4,4,8
Nikita Zaitsev,OTT,R,D,1991-10-29,Moscow,--,RUS,RUS,74,188,--,--,--,20162017,N,18,0,2,2
Travis Zajac,NJD,R,C,1985-05-13,Winnipeg,MB,CAN,CAN,74,185,2004,1,20,20062007,N,5,1,1,2
Henrik Zetterberg,DET,L,C,1980-10-09,Njurunda,--,SWE,SWE,72,197,1999,7,210,20022003,N,5,1,0,1
Mika Zibanejad,NYR,R,C,1993-04-18,Huddinge,--,SWE,SWE,74,208,2011,1,6,20122013,N,15,3,8,11
Marek Zidlicky,--,R,D,1977-02-03,Most,--,CZE,CZE,71,190,2001,6,176,20032004,N,5,0,1,1
Harry Zolnierczyk,--,L,L,1987-09-01,Toronto,ON,CAN,CAN,71,180,--,--,--,20162017,N,11,1,2,3
Dainius Zubrus,--,L,C,1978-06-16,Elektrenai,--,LTU,LTU,77,225,1996,1,15,19961997,N,14,1,1,2
Mats Zuccarello,MIN,L,R,1987-09-01,Oslo,--,NOR,NOR,68,178,--,--,--,20102011,N,34,9,12,21
Jason Zucker,PIT,L,L,1992-01-16,Newport Beach,CA,USA,USA,71,192,2010,2,59,20122013,N,20,3,2,5
